-181.311, -32.905, 12.839, 21.466
-181.309, -33.334, 12.880, 21.499
-181.307, -33.764, 12.922, 21.532
-181.305, -34.196, 12.964, 21.565
-181.303, -34.629, 13.007, 21.598
-181.301, -35.064, 13.049, 21.631
-181.299, -35.500, 13.092, 21.664
-181.297, -35.937, 13.135, 21.697
-181.295, -36.376, 13.178, 21.730
-181.293, -36.817, 13.221, 21.763
-181.291, -37.258, 13.264, 21.796
-181.289, -37.702, 13.308, 21.829
-181.287, -38.146, 13.351, 21.862
-181.285, -38.593, 13.395, 21.895
-181.283, -39.040, 13.439, 21.928
-181.280, -39.489, 13.484, 21.961
-181.278, -39.940, 13.528, 21.994
-181.276, -40.392, 13.573, 22.027
-181.274, -40.845, 13.618, 22.060
-181.272, -41.301, 13.663, 22.093
-181.270, -41.757, 13.708, 22.126
-181.267, -42.215, 13.753, 22.159
-181.265, -42.675, 13.799, 22.192
-181.263, -43.136, 13.845, 22.225
-181.261, -43.599, 13.891, 22.258
-181.258, -44.063, 13.937, 22.291
-181.256, -44.528, 13.983, 22.324
-181.254, -44.996, 14.030, 22.357
-181.251, -45.465, 14.076, 22.390
